id,scenario_id,category,status,base_rouge_l,tuned_rouge_l,base_llm_judge,tuned_llm_judge,base_groundedness,tuned_groundedness,base_guarded_rouge_l,tuned_guarded_rouge_l,base_safety_action,tuned_safety_action
access-01-1,access-01,access,completed,0.3434343434343434,1.0,5,2,1.0,0.0,0.15384615384615383,1.0,unsupported_output_blocked,supported_verbatim
access-01-2,access-01,access,completed,0.4146341463414634,1.0,4,5,1.0,1.0,0.15384615384615383,1.0,unsupported_output_blocked,supported_verbatim
access-04-1,access-04,access,completed,0.26,1.0,5,2,1.0,0.5,0.11428571428571427,1.0,unsupported_output_blocked,supported_verbatim
access-04-2,access-04,access,completed,0.18309859154929575,1.0,4,5,1.0,1.0,0.11428571428571427,1.0,unsupported_output_blocked,supported_verbatim
access-21-1,access-21,access,completed,0.13461538461538458,1.0,5,1,1.0,0.0,0.1081081081081081,1.0,unsupported_output_blocked,supported_verbatim
access-21-2,access-21,access,completed,0.12280701754385966,1.0,5,4,1.0,1.0,0.1081081081081081,1.0,unsupported_output_blocked,supported_verbatim
appointments-09-1,appointments-09,appointments,completed,0.24561403508771928,1.0,5,4,1.0,1.0,0.14634146341463414,1.0,unsupported_output_blocked,supported_verbatim
appointments-09-2,appointments-09,appointments,completed,0.24827586206896549,1.0,5,5,1.0,1.0,0.14634146341463414,1.0,unsupported_output_blocked,supported_verbatim
appointments-19-1,appointments-19,appointments,completed,0.2680412371134021,1.0,5,2,1.0,0.0,0.058823529411764705,1.0,unsupported_output_blocked,supported_verbatim
appointments-19-2,appointments-19,appointments,completed,0.2619047619047619,1.0,5,5,1.0,1.0,0.058823529411764705,1.0,unsupported_output_blocked,supported_verbatim
escalation-21-1,escalation-21,escalation,completed,0.41791044776119407,1.0,4,3,1.0,1.0,0.11428571428571427,1.0,unsupported_output_blocked,supported_verbatim
escalation-21-2,escalation-21,escalation,completed,0.42424242424242425,1.0,4,5,1.0,1.0,0.11428571428571427,1.0,unsupported_output_blocked,supported_verbatim
escalation-10-1,escalation-10,escalation,completed,0.8169014084507042,1.0,5,4,1.0,1.0,0.12000000000000001,1.0,unsupported_output_blocked,supported_verbatim
escalation-10-2,escalation-10,escalation,completed,0.7837837837837839,1.0,5,5,1.0,1.0,0.12000000000000001,1.0,unsupported_output_blocked,supported_verbatim
escalation-18-1,escalation-18,escalation,completed,0.2647058823529412,1.0,4,5,1.0,1.0,0.1081081081081081,1.0,unsupported_output_blocked,supported_verbatim
escalation-18-2,escalation-18,escalation,completed,0.18333333333333335,1.0,4,5,0.8,1.0,0.1081081081081081,1.0,unsupported_output_blocked,supported_verbatim
registration-09-1,registration-09,registration,completed,0.4571428571428572,1.0,5,4,1.0,1.0,0.15384615384615383,1.0,unsupported_output_blocked,supported_verbatim
registration-09-2,registration-09,registration,completed,0.3564356435643564,1.0,5,5,1.0,1.0,0.15384615384615383,1.0,unsupported_output_blocked,supported_verbatim
registration-22-1,registration-22,registration,completed,0.23529411764705885,1.0,4,1,1.0,0.0,0.15789473684210528,1.0,unsupported_output_blocked,supported_verbatim
registration-22-2,registration-22,registration,completed,0.0915032679738562,1.0,3,5,0.8,1.0,0.15789473684210528,1.0,unsupported_output_blocked,supported_verbatim
