scenario_id,review_hash,source_url,clause,pdf_page,anchor,question_1,question_2,guidance,decision,reviewer,reviewed_at,notes
appointments-01,fdc1a36602f707914391330a44bedc20fbacc8ef4054bb6ebd2a8b7bde8ff9ab,https://new.kenyalaw.org/akn/ke/act/2017/21/eng@2026-07-10/source,10(a),12,"the types, availability and cost",What should AfyaPlus staff in Kenya do when patients ask which services are available?,"At an AfyaPlus facility in Kenya, how should staff handle this: patients ask which services are available?",Use the facility's published service information to explain availability and any stated charges; do not invent prices.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
appointments-02,e825c03f6d019409b77b3e9ed7fdd60df3bfbab5cf0654cf99ad86aa30f971a2,https://new.kenyalaw.org/akn/ke/act/2017/21/eng@2026-07-10/source,10(b),12,the organization of health services,What should AfyaPlus staff in Kenya do when patients ask how services are organized?,"At an AfyaPlus facility in Kenya, how should staff handle this: patients ask how services are organized?",Use the published organization of services to direct patients to the appropriate administrative service point.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
appointments-03,5c287cfeaee399c4f46a597d887e8ef51dd361ebcc109a3c2790266b81318272,https://new.kenyalaw.org/akn/ke/act/2017/21/eng@2026-07-10/source,10(c),12,operating schedules and timetables of visits,What should AfyaPlus staff in Kenya do when a patient asks when to attend?,"At an AfyaPlus facility in Kenya, how should staff handle this: a patient asks when to attend?",Check the facility's published operating schedule and visiting timetable before communicating attendance information.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
appointments-04,8b9c3664cbc9831d75db14fd97b3b65f4c900cd08ed6dadb62eeb1b27812aa04,https://new.kenyalaw.org/akn/ke/act/2017/21/eng@2026-07-10/source,10(d),12,procedures for access to the health services,What should AfyaPlus staff in Kenya do when a patient asks how to access a clinic?,"At an AfyaPlus facility in Kenya, how should staff handle this: a patient asks how to access a clinic?",Explain the facility's published access procedure rather than inventing a booking route or promising an unavailable slot.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
appointments-05,357367832034a816c71a5b642109fdbf83ddfabe63606b1fd561f3a88701f4f9,https://new.kenyalaw.org/akn/ke/act/2017/21/eng@2026-07-10/source,10(f),12,the rights and duties of users and healthcare providers,What should AfyaPlus staff in Kenya do when patients ask about their responsibilities at a visit?,"At an AfyaPlus facility in Kenya, how should staff handle this: patients ask about their responsibilities at a visit?",Direct patients to the applicable service charter and published rights and duties for the facility.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
appointments-06,4a9b869c1f6ce3f94043418d9b14b76c0e485c8d57e90dd98b650ec0520a5b8a,https://new.kenyalaw.org/akn/ke/act/2017/21/eng@2026-07-10/source,5(2),10,"treated with dignity, respect and have their privacy respected",What should AfyaPlus staff in Kenya do when a waiting-area interaction becomes disrespectful?,"At an AfyaPlus facility in Kenya, how should staff handle this: a waiting-area interaction becomes disrespectful?",Handle the interaction respectfully and protect the patient's privacy while arranging administrative assistance.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
appointments-07,4a2ad448f2108dbaa7212a0fb689263ef66483adcd3034e01b8b8af29e1415bf,https://new.kenyalaw.org/akn/ke/act/2017/21/eng@2026-07-10/source,8(2),11,in a language that the user understands,What should AfyaPlus staff in Kenya do when a patient cannot understand information about a planned visit?,"At an AfyaPlus facility in Kenya, how should staff handle this: a patient cannot understand information about a planned visit?",Arrange for the healthcare provider to explain the information in an understandable language and manner appropriate to the patient's literacy.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
appointments-08,fa3d304606366c1dad75d6d6b0f789981bcd5890694de9e02476fe9754ab2b38,https://new.kenyalaw.org/akn/ke/act/2017/21/eng@2026-07-10/source,8(1)(c),11,"benefits, risks, costs and consequences",What should AfyaPlus staff in Kenya do when patients ask reception to explain treatment options before booking?,"At an AfyaPlus facility in Kenya, how should staff handle this: patients ask reception to explain treatment options before booking?","Connect the patient with the healthcare provider for the benefits, risks, costs and consequences of the options; reception must not make clinical recommendations.",approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
appointments-09,a60ecccd6bfc992fc2530fb0433f16e95a030f359d01c6b8b4311b1e26d1f980,https://new.kenyalaw.org/akn/ke/act/2017/21/eng@2026-07-10/source,13(a),13,adhere to the rules of a health facility,What should AfyaPlus staff in Kenya do when a patient asks which facility rules apply during attendance?,"At an AfyaPlus facility in Kenya, how should staff handle this: a patient asks which facility rules apply during attendance?",Point the patient to the facility's published rules for using its services and clarify administrative requirements without inventing restrictions.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
appointments-10,82e83d7c8e5ebc98e3343e261a268ccb3de69d2c5223e1f88a07b998e11738f4,https://new.kenyalaw.org/akn/ke/act/ln/2021/263/eng@2022-12-31/source,4(1)(a),6,the identity of the data controller or data processor,What should AfyaPlus staff in Kenya do when a scheduling consent notice does not identify the organization?,"At an AfyaPlus facility in Kenya, how should staff handle this: a scheduling consent notice does not identify the organization?",Have the responsible data team identify the controller or processor in the notice before seeking consent for the scheduling-data use.,approved,Wasaa Abdalla,2026-09-15,Reviewer confirmed in conversation that all pending cases were reviewed and approved; recorded on their explicit instruction.
